sku_item,orders,customers
0724999807876 | Prime Micellar Casein | 1kg Pack (40 servings) / Natural (Unflavoured),25,19
724999807784 | Better Whey Protein | 1KG Pack / Matchawhey,25,25
0724999808507_2 | COLLAGEN GLOW | 2 x 300g packs (60 servings) *Most Popular*,25,16
724999807876 | Prime Micellar Casein | 1KG / Natural (Unflavoured),24,21
0724999807562 | Pureburn™ Thermogenic Capsules | 90 Capsules (90 servings),24,20
0724999808361_FREEGIFT | FREE GIFT: LushProtein Classic Shaker | Default,24,24
724999807913 | BETTER WHEY PROTEIN | 1kg Pack (40 servings) / Vanilla (Exp Nov23),24,22
724999807562 | Pureburn™ Thermogenic Capsules | 90 capsules,23,23
COL-UNF-300G-2BL-V1 | COLLAGEN GLOW | 2 x 300g packs (60 servings) *Most Popular*,23,17
ACC-TOTE-V1 | FUEL YOUR JOURNEY TOTE BAG | Default,23,22
COL-UNF-10G-V1 | Collagen Glow Single Serve | 1 x 10g Sachet (1 serving),23,17
0724999808903 | Better Whey Protein | 500g Pack / Vanilla,23,23
0724999807951 | BETTER WHEY PROTEIN | 1kg (40 serves) / Mango,22,21
0724999810524 | Lean Protein Single Serve | 5 x 40g Sachet (5 servings) *Most Popular* / Taro,22,10
0724999808613 | Plant Protein | Vanilla,22,22
0724999807845 | Soy Protein Isolate | 1KG Pack / Natural (Unflavoured),22,21
0724999807999 | Creatine Monohydrate | 250g (50 servings),22,11
724999808422 | BETTER WHEY PROTEIN | 1kg Pack (40 servings) / Teh Tarik,21,19
724999808897 | Better Whey Protein | 500g Pack / Cocoa Dinosaur,21,21
0724999807548 | Green Tea Extract Capsules | 60 Capsules,21,19
0724999807807X | CLEAR PROTEIN | 500g Pack (20 Serv) / White Grape,21,21
COL-UNF-10G-7PK-V1 | Collagen Glow Single Serve | 7 x 10g Sachet (7 servings) *Most Popular*,20,15
724999807555 | Super Omega 3 Capsules | 60 Capsules,20,14
0724999807777 | Prime Whey Isolate | Matchawhey / 1kg,20,20
0724999807760 | Prime Whey Isolate | Natural (Unflavored),20,19
724999808606 | Plant Protein | Cocoa Dinosaur / 480g,20,19
0724999809214 | BETTER WHEY PROTEIN ELITE | 500g Pack (20 servings) / Vanilla,19,18
0724999807999 | CREATINE MONOHYDRATE | Default,19,19
0724999807791 | Prime Whey Isolate | Cocoa Dinosaur / 1kg,19,19
0724999809160 | LP Stainless Steel Thermal Bottle | Default,19,17
0724999810517 | Lean Protein Single Serve | 5 x 40g Sachet (5 servings) *Most Popular* / Thai Milk Tea,18,15
724999807845 | SOY PROTEIN ISOLATE | 1kg Pack (40 servings) / Natural (Unflavoured),18,18
ELT-CHO-500G-V1 | BETTER WHEY PROTEIN ELITE | 500g (20 serves) / Cocoa Dinosaur,18,16
0724999807814X | CLEAR PROTEIN | 500g Pack (20 Serv) / Peach,18,18
BND-SS-MIX6-SHK-V1 | Discovery Sampler +FREE SHAKER BOTTLE | 6 Sachets Variety + 1 Shaker Bottle,18,18
