antecedent,consequent,co_orders,antecedent_orders,consequent_orders,total_orders,support,antecedent_support,consequent_support,confidence,lift,leverage,conviction,level,both_item_customers,both_item_repeat_rate,both_item_avg_ltv,both_item_pct_subscribed,antecedent_item_revenue_sgd,antecedent_item_covered_revenue_sgd,antecedent_item_est_gross_profit_sgd,antecedent_item_margin_coverage_pct,antecedent_item_est_margin_pct,consequent_item_revenue_sgd,consequent_item_covered_revenue_sgd,consequent_item_est_gross_profit_sgd,consequent_item_margin_coverage_pct,consequent_item_est_margin_pct,margin_overlay_available
0724999808361 | LP CLASSIC SHAKER | White,0724999810470 | LEAN PROTEIN SACHET | 40g Sachet / Taro,64,473,77,7564,0.008461131676361713,0.06253305129561079,0.010179799048122686,0.13530655391120508,13.29167238680981,0.007824557780306447,1.144706491565374,sku_flavor,63,0.2222222222222222,768.3329244829247,0.047619047619047616,,,,,,,,,,,False
0724999810470 | LEAN PROTEIN SACHET | 40g Sachet / Taro,0724999808361 | LP CLASSIC SHAKER | White,64,77,473,7564,0.008461131676361713,0.010179799048122686,0.06253305129561079,0.8311688311688312,13.291672386809807,0.007824557780306447,5.552688850018307,sku_flavor,63,0.2222222222222222,768.3329244829247,0.047619047619047616,,,,,,,,,,,False
0724999808361 | LP CLASSIC SHAKER | White,0724999810470 | LEAN PROTEIN | 40g Sachet (1 serving) / Taro,102,473,125,7564,0.013484928609201481,0.06253305129561079,0.01652564780539397,0.2156448202959831,13.049099365750529,0.012451529427293582,1.2538635271915057,sku_flavor,105,0.20952380952380953,44.39666378066377,0.11428571428571428,,,,,,,,,,,False
0724999810470 | LEAN PROTEIN | 40g Sachet (1 serving) / Taro,0724999808361 | LP CLASSIC SHAKER | White,102,125,473,7564,0.013484928609201481,0.01652564780539397,0.06253305129561079,0.816,13.049099365750527,0.012451529427293582,5.094929069045592,sku_flavor,105,0.20952380952380953,44.39666378066377,0.11428571428571428,,,,,,,,,,,False
0724999807791 | Prime Whey Isolate | 1kg Pack (40 servings) / Cocoa Dinosaur,0724999808361 | [FREE GIFT] LushProtein Classic Shaker | Default,11,52,125,7564,0.0014542570068746695,0.006874669487043892,0.01652564780539397,0.21153846153846154,12.800615384615385,0.0013406486401532937,1.2473333247346223,sku_flavor,11,0.9090909090909091,264.06415977961433,0.9090909090909091,,,,,,,,,,,False
0724999808361 | [FREE GIFT] LushProtein Classic Shaker | Default,0724999807791 | Prime Whey Isolate | 1kg Pack (40 servings) / Cocoa Dinosaur,11,125,52,7564,0.0014542570068746695,0.01652564780539397,0.006874669487043892,0.088,12.800615384615384,0.0013406486401532937,1.08895321328175,sku_flavor,11,0.9090909090909091,264.06415977961433,0.9090909090909091,,,,,,,,,,,False
0724999810494 | CLEAR PROTEIN | 25g Sachet (1 serving) / Peach,0724999810470 | LEAN PROTEIN | 40g Sachet (1 serving) / Taro,15,71,125,7564,0.001983077736647277,0.009386567953463775,0.01652564780539397,0.2112676056338028,12.784225352112676,0.0018279586205469367,1.2469049822467324,sku_flavor,20,0.5,158.09550000000002,0.35,,,,,,,,,,,False
0724999810470 | LEAN PROTEIN | 40g Sachet (1 serving) / Taro,0724999810494 | CLEAR PROTEIN | 25g Sachet (1 serving) / Peach,15,125,71,7564,0.001983077736647277,0.01652564780539397,0.009386567953463775,0.12,12.784225352112676,0.0018279586205469367,1.1256970818710639,sku_flavor,20,0.5,158.09550000000002,0.35,,,,,,,,,,,False
0724999808361 | LP CLASSIC SHAKER | White,0724999810463 | LEAN PROTEIN | 40g Sachet (1 serving) / Thai Milk Tea,103,473,131,7564,0.013617133791644632,0.06253305129561079,0.017318878900052882,0.21775898520084566,12.573503542436615,0.012534131449005153,1.2562382980547973,sku_flavor,106,0.20754716981132076,463.1416952544313,0.09433962264150944,,,,,,,,,,,False
0724999810463 | LEAN PROTEIN | 40g Sachet (1 serving) / Thai Milk Tea,0724999808361 | LP CLASSIC SHAKER | White,103,131,473,7564,0.013617133791644632,0.017318878900052882,0.06253305129561079,0.7862595419847328,12.573503542436614,0.012534131449005153,4.386006081438392,sku_flavor,106,0.20754716981132076,463.1416952544313,0.09433962264150944,,,,,,,,,,,False
0724999807822 | LEAN PROTEIN | 1 x 1kg Pack (25 servings) / Taro,0724999807821 | LEAN PROTEIN | 1 x 1kg Pack (25 servings) / Thai Milk Tea,15,82,121,7564,0.001983077736647277,0.010840824960338445,0.015996827075621365,0.18292682926829268,11.435194517234429,0.001809658934399663,1.2043023907432693,sku_flavor,18,0.4444444444444444,2715.2455555555557,0.2222222222222222,,,,,,,,,,,False
0724999807821 | LEAN PROTEIN | 1 x 1kg Pack (25 servings) / Thai Milk Tea,0724999807822 | LEAN PROTEIN | 1 x 1kg Pack (25 servings) / Taro,15,121,82,7564,0.001983077736647277,0.015996827075621365,0.010840824960338445,0.12396694214876033,11.435194517234429,0.001809658934399663,1.1291345299981044,sku_flavor,18,0.4444444444444444,2715.2455555555557,0.2222222222222222,,,,,,,,,,,False
0724999808507 | COLLAGEN GLOW | 300g Pack (30 servings),0724999808361 | [FREE] LushProtein Classic Shaker | Default,20,143,94,7564,0.0026441036488630354,0.018905341089370704,0.012427287149656267,0.13986013986013987,11.254277637256362,0.00240916154648323,1.148153641769099,sku_flavor,22,0.7272727272727273,339.54318181818184,0.6818181818181818,,,,,,,,,,,False
0724999808361 | [FREE] LushProtein Classic Shaker | Default,0724999808507 | COLLAGEN GLOW | 300g Pack (30 servings),20,94,143,7564,0.0026441036488630354,0.012427287149656267,0.018905341089370704,0.2127659574468085,11.25427763725636,0.00240916154648323,1.2462553775351237,sku_flavor,22,0.7272727272727273,339.54318181818184,0.6818181818181818,,,,,,,,,,,False
0724999807814 | CLEAR PROTEIN | 1 x 500g Pack (20 servings) / Peach,0724999807807 | CLEAR PROTEIN | 1 x 500g Pack (20 servings) / White Grape,13,112,79,7564,0.001718667371760973,0.014806980433632998,0.01044420941300899,0.11607142857142858,11.11347197106691,0.0015640201673377833,1.11949746005801,sku_flavor,17,0.47058823529411764,2890.431818181818,0.23529411764705882,,,,,,,,,,,False
