sku_norm,Line: Title,Line: Variant Title,product_category,line_items,orders,revenue_sgd,covered_revenue_sgd,covered_lines,estimated_gross_profit_sgd,estimated_cogs_sgd,revenue_coverage_pct,line_coverage_pct,estimated_margin_pct
,"Better Whey Protein ELITE - 1KG Pack, Chocolate Dinosaur",,Unknown,37,37,11954.412121212123,0.0,0,0.0,0.0,0.0,0.0,
0724999808507,COLLAGEN GLOW,300g,Collagen Glow,140,140,11654.28,11654.28,140,8013.26,3641.02,1.0,1.0,0.687580871576794
,"Lean Meal - 500g Pack (16 Serves), Belgian Choc",,Unknown,156,156,11637.218181818182,0.0,0,0.0,0.0,0.0,0.0,
0724999807791,Prime Whey Isolate,1kg Pack (40 servings) / Cocoa Dinosaur,Other,128,127,11536.196363636363,11536.196363636365,128,5688.086363636364,5848.110000000001,1.0000000000000002,1.0,0.4930642808374841
LEAN-POL-1KG-V1,LEAN PROTEIN PEACH OOLONG (PRE-ORDER),1 x 1kg Pack (25 servings) / Peach Oolong,Lean Protein,118,118,11397.21,11397.21,118,7955.46,3441.7499999999995,1.0,1.0,0.6980181991908546
724999807760,Prime Whey Isolate,Natural (Unflavored) / 1kg,Other,102,101,11226.62696969697,0.0,0,0.0,0.0,0.0,0.0,
0724999807890,BETTER WHEY PROTEIN,1kg (40 serves) / Unflavoured,Other,137,137,10934.658787878789,10934.65878787879,137,5807.3587878787885,5127.3,1.0000000000000002,1.0,0.5310964796008377
,"Better Whey - 1KG Pack, Coffee",,Unknown,98,98,10895.32090909091,0.0,0,0.0,0.0,0.0,0.0,
,L-Carnitine - 60 Capsules,,Unknown,202,202,10763.773333333333,0.0,0,0.0,0.0,0.0,0.0,
,"Plant Protein - 480g Pack, Natural (Unflavoured & Unsweetened)",,Unknown,64,64,10714.694545454546,0.0,0,0.0,0.0,0.0,0.0,
0724999808507,COLLAGEN GLOW,300g Pack (30 servings) / Natural (Unflavoured),Collagen Glow,201,201,10461.909090909092,10461.909090909092,201,6121.149090909092,4340.76,1.0,1.0,0.5850891111478003
,"Better Whey - 500g Pack, Chocolate Dinosaur",,Unknown,520,519,9971.542727272728,0.0,0,0.0,0.0,0.0,0.0,
,"Better Whey Protein - 500g Pack, Chocolate Dinosaur",,Unknown,245,242,9848.771818181818,0.0,0,0.0,0.0,0.0,0.0,
0724999808620,PLANT PROTEIN,480g Pack (16 servings) / Natural (Unflavoured),Other,188,188,9776.84090909091,0.0,0,0.0,0.0,0.0,0.0,
0724999807814,CLEAR PROTEIN,500g Pack (20 servings) / Peach,Clear Protein,116,116,9596.539999999999,9596.54,116,6966.7699999999995,2629.77,1.0000000000000002,1.0,0.7259668588887244
724999807760,Prime Whey Isolate,1kg Pack (40 servings) / Natural (Unflavoured),Other,107,102,9477.864545454546,0.0,0,0.0,0.0,0.0,0.0,
,Pureburn™ Fat Burner Capsules - 90 capsules,,Unknown,42,42,9227.128181818181,0.0,0,0.0,0.0,0.0,0.0,
0724999809191,BETTER WHEY PROTEIN ELITE,500g Pack (20 servings) / Cocoa Dinosaur,Other,53,52,9205.25,0.0,0,0.0,0.0,0.0,0.0,
724999807937,BETTER WHEY PROTEIN,1KG Pack / Cocoa Dinosaur,Other,134,129,9116.626666666667,0.0,0,0.0,0.0,0.0,0.0,
0724999808507,Collagen Glow,300g Pack,Collagen Glow,108,108,9072.218484848485,9072.218484848483,108,6296.978484848486,2775.24,0.9999999999999998,1.0,0.6940946688359714
724999808507,COLLAGEN GLOW,300g Pack,Collagen Glow,192,183,8922.276363636363,0.0,0,0.0,0.0,0.0,0.0,
PLT-CHO-480G-V1,PLANT PROTEIN,480g Pack (16 servings) / Cocoa Dinosaur,Other,135,135,8845.78,8845.779999999999,135,7524.25,1321.53,0.9999999999999998,1.0,0.8506033385410897
,"Better Whey Protein - 500g Pack, Teh Tarik",,Unknown,185,185,8795.17909090909,0.0,0,0.0,0.0,0.0,0.0,
