Line: Product Handle,Line: Variant Title,Line: SKU,line_items,unique_customers,total_revenue,unit_cost,Price / Singapore,Status,has_cost
better-whey,500g Pack / Natural (Unflavored),724999808880.0,12,12,377.6090909090909,,,,False
collagen-glow,4 x 300g packs (120 servings),0724999808507_4,3,3,376.78,,,,False
pureburn-fat-burner-capsules,90 Capsules (90 servings),0724999807562,9,8,373.03636363636366,,,,False
micronized-creatine-monohydrate,2 x 250g Pack (100 servings) *Most Popular*,CRE-UNF-250G-2BL-V1,7,4,370.5,,,,False
prime-whey-isolate,Natural (Unflavored) / 1kg,0724999807760,5,5,363.4545454545455,,,,False
prime-whey-isolate,Matchawhey / 1kg,0724999807777,4,4,359.6,,,,False
prime-whey-isolate,1KG Pack / Cocoa Dinosaur,0724999807791,2,2,355.44545454545454,,,,False
micronized-creatine-monohydrate,4 x 250g Pack (200 servings),CRE-UNF-250G-4BL-V1,4,4,352.51,,,,False
soy-protein-isolate,2 x 1kg Pack (80 servings) *Most Popular* / Unflavoured,SOY-UNF-1KG-2BL-V1,5,4,340.0,,,,False
prime-whey-isolate,1kg Pack (40 servings) / Matchawhey,0724999807777,3,2,339.6,,,,False
lean-protein,1 x 1kg Pack / Thai Milk Tea,LEAN-THA-1KG-V1,3,3,337.65999999999997,18.16,,,True
clear-protein-25g-single-sachet,5 x 25g Sachet (5 servings)  *MOST POPULAR* / Peach,0724999810548,12,10,331.94,,,,False
clear-protein-25g-single-sachet,5 x 25g Sachet (5 servings)  *MOST POPULAR* / White Grape,0724999810531,14,10,329.78999999999996,,,,False
prime-whey-isolate,1KG Pack / Natural (Unflavoured),0724999807760,1,1,319.98,,,,False
multivitamin-vegan,90 Capsules,724999808378.0,5,4,319.08000000000004,,,,False
plant-protein,Cocoa Dinosaur,0724999808606,8,8,317.7887878787879,,,,False
clear-protein-25g-single-sachet,1 x 25g Sachet (1 serving) / White Grape,0724999810487,40,34,312.96000000000004,,,,False
lushprotein-lean-protein-40g-single-serve,40g Sachet / Taro,0724999810470,34,31,298.82,,,,False
lean-protein,40g Sachet / Thai Milk Tea,0724999810463,48,46,296.03000000000003,,,,False
clear-protein-25g-single-sachet,1 x 25g Sachet (1 serving) / Peach,0724999810494,41,35,284.94,,,,False
better-whey,500g Pack (20 servings) / Vanilla,0724999808903,9,9,279.09999999999997,,,,False
clear-protein,500g Pack (20 Servings) / Peach,0724999807814,6,6,278.8909090909091,,,,False
better-whey,500g Pack (20 servings) / Vanilla (unsweetened),0724999808903,9,9,264.62,,,,False
prime-whey-isolate,Cocoa Dinosaur / 1kg,0724999807791,4,4,242.3030303030303,,,,False
lushprotein-lean-protein-40g-single-serve,1 x 40g Sachet / Thai Milk Tea,LEAN-THA-40G-V1,12,12,233.36,0.83,,,True
