first_handle,first_variant,first_sku,flavor_sku,customers,loyal_rate,avg_ltv,avg_orders,pct_subscribed,lift_vs_baseline
lean-protein,1 x 1kg Pack (25 servings) / Taro,LEAN-TAR-1KG-V1,lean-protein | 1 x 1kg Pack (25 servings) / Taro,160,0.05,114.7951875,1.2,0.1125,0.3086917562724015
collagen-glow,1 x 300g pack (30 servings),COL-UNF-300G-V1,collagen-glow | 1 x 300g pack (30 servings),62,0.04838709677419355,139.61854838709678,1.2580645161290323,0.14516129032258066,0.2987339576829691
lushprotein-lean-protein-40g-single-serve,5 x 40g Sachet (5 servings) *Most Popular* / Taro,LEAN-TAR-40G-5PK-V1,lushprotein-lean-protein-40g-single-serve | 5 x 40g Sachet (5 servings) *Most Popular* / Taro,44,0.045454545454545456,62.24409090909091,1.2727272727272727,0.022727272727272728,0.2806288693385468
clear-protein,1 x 500g Pack (20 servings) / White Grape,CLEAR-GRA-500G-V2,clear-protein | 1 x 500g Pack (20 servings) / White Grape,161,0.037267080745341616,144.05217391304348,1.1987577639751552,0.13664596273291926,0.23008081212849799
soy-protein-isolate,1 x 1kg Pack (40 servings) / Unflavoured,0724999807845,soy-protein-isolate | 1 x 1kg Pack (40 servings) / Unflavoured,61,0.03278688524590164,70.68885245901639,1.2295081967213115,0.01639344262295082,0.20242082378518128
clear-protein,1 x 500g Pack (20 servings) / Peach,CLEAR-PEA-500G-V2,clear-protein | 1 x 500g Pack (20 servings) / Peach,125,0.032,150.53567999999999,1.104,0.184,0.19756272401433694
lean-protein-peach-oolong-pre-order,1 x 1kg Pack (25 servings) / Peach Oolong,LEAN-POL-1KG-V1,lean-protein-peach-oolong-pre-order | 1 x 1kg Pack (25 servings) / Peach Oolong,32,0.03125,90.1809375,1.15625,0.125,0.19293234767025091
soy-protein-isolate,1kg Pack (40 servings) / Unflavoured,0724999807845,soy-protein-isolate | 1kg Pack (40 servings) / Unflavoured,33,0.030303030303030304,35.83727272727273,1.1818181818181819,0.030303030303030304,0.18708591289236454
lushprotein-clear-shaker,40g Sachet / Taro,0724999810470,unknown | 40g Sachet / Taro,39,0.02564102564102564,14.288205128205128,1.1025641025641026,0.02564102564102564,0.15830346475507767
better-whey,500g (20 servings) / Cocoa Dinosaur,0724999808897,better-whey | 500g (20 servings) / Cocoa Dinosaur,43,0.023255813953488372,40.559767441860465,1.069767441860465,0.023255813953488372,0.1435775610569309
soy-protein-isolate,1 x 1kg Pack (40 servings) / Unflavoured,SOY-UNF-1KG-V1,soy-protein-isolate | 1 x 1kg Pack (40 servings) / Unflavoured,96,0.020833333333333332,97.7415625,1.125,0.020833333333333332,0.1286215651135006
lean-protein,1 x 1kg Pack (25 servings) / Taro,0724999807822,lean-protein | 1 x 1kg Pack (25 servings) / Taro,51,0.0196078431372549,96.94588235294117,1.1568627450980393,0.09803921568627451,0.12105559069505939
lean-protein,1 x 1kg Pack (25 servings) / Thai Milk Tea,LEAN-THA-1KG-V1,lean-protein | 1 x 1kg Pack (25 servings) / Thai Milk Tea,182,0.016483516483516484,119.95945054945054,1.1428571428571428,0.15384615384615385,0.10176651305683565
lushprotein-lean-protein-40g-single-serve,5 x 40g Sachet (5 servings) *Most Popular* / Thai Milk Tea,LEAN-THA-40G-5PK-V1,lushprotein-lean-protein-40g-single-serve | 5 x 40g Sachet (5 servings) *Most Popular* / Thai Milk Tea,39,0.0,45.72948717948718,1.1282051282051282,0.07692307692307693,0.0
lean-protein,40g Sachet (1 serving) / Taro,0724999810470,lean-protein | 40g Sachet (1 serving) / Taro,36,0.0,22.234444444444446,1.1111111111111112,0.05555555555555555,0.0
discovery-sampler,5 Sachets Variety,BND-SS-MIX6-V1,discovery-sampler | 5 Sachets Variety,53,0.0,52.89641509433962,1.0566037735849056,0.03773584905660377,0.0
