first_handle,first_variant,first_sku,flavor_sku,customers,repeat_rate,avg_ltv
better-whey,500g Pack / Teh Tarik,724999808910.0,better-whey | 500g Pack / Teh Tarik,10,0.5,101.804
clear-protein,2 x 500g Pack (40 servings) *MOST POPULAR* / White Grape,CLEAR-GRA-500G-2BL-V2,clear-protein | 2 x 500g Pack (40 servings) *MOST POPULAR* / White Grape,10,0.2,150.876
soy-protein-isolate,1kg Pack (40 servings) / Unflavoured,0724999807845,soy-protein-isolate | 1kg Pack (40 servings) / Unflavoured,9,0.1111111111111111,42.489999999999995
better-whey,1kg (40 servings) / Cocoa Dinosaur,0724999807937,better-whey | 1kg (40 servings) / Cocoa Dinosaur,9,0.0,80.1
plant-protein,Vanilla / 480g,724999808613.0,plant-protein | Vanilla / 480g,9,0.3333333333333333,191.85040404040404
lushprotein-lean-protein-40g-single-serve,40g Sachet / Taro,0724999810470,lushprotein-lean-protein-40g-single-serve | 40g Sachet / Taro,9,0.3333333333333333,53.57333333333334
green-tea-extract-capsules,60 Capsules (60 servings),0724999807548,green-tea-extract-capsules | 60 Capsules (60 servings),9,0.3333333333333333,87.30188552188552
collagen-glow,300g Pack (30 servings),724999808507.0,collagen-glow | 300g Pack (30 servings),9,0.1111111111111111,99.30333333333334
better-whey,500g Pack (20 servings) / Vanilla (Expiry Sep 2024),0724999808903,better-whey | 500g Pack (20 servings) / Vanilla (Expiry Sep 2024),9,0.2222222222222222,35.21666666666667
better-whey,500g Pack / Vanilla,724999808903.0,better-whey | 500g Pack / Vanilla,9,0.3333333333333333,116.52666666666667
better-whey,500g Pack / Matchawhey,724999808941.0,better-whey | 500g Pack / Matchawhey,9,0.2222222222222222,102.29222222222222
clear-protein-25g-single-sachet,1 x 25g Sachet (1 serving) / White Grape,0724999810487,clear-protein-25g-single-sachet | 1 x 25g Sachet (1 serving) / White Grape,8,0.375,108.94125
better-whey,500g Pack (20 servings) / Natural (Unflavoured),0724999808880,better-whey | 500g Pack (20 servings) / Natural (Unflavoured),8,0.25,74.45087121212121
better-whey,1kg Pack (40 servings) / Teh Tarik,724999808422.0,better-whey | 1kg Pack (40 servings) / Teh Tarik,8,0.125,102.85000000000001
soy-protein-isolate,1kg Pack (40 servings) / Natural (Unflavoured),724999807845.0,soy-protein-isolate | 1kg Pack (40 servings) / Natural (Unflavoured),8,0.375,104.47901515151516
lushprotein-lean-protein-40g-single-serve,1 x 40g Sachet / Thai Milk Tea,LEAN-THA-40G-V1,lushprotein-lean-protein-40g-single-serve | 1 x 40g Sachet / Thai Milk Tea,8,0.0,32.83625
clear-protein,2 x 500g Pack (40 servings) *MOST POPULAR* / Peach,CLEAR-PEA-500G-2BL-V2,clear-protein | 2 x 500g Pack (40 servings) *MOST POPULAR* / Peach,8,0.25,154.45375
creatine-monohydrate-sachet,1 x 5g (1 servings),CRE-UNF-5G-V1,creatine-monohydrate-sachet | 1 x 5g (1 servings),7,0.2857142857142857,70.26857142857143
discovery-sampler,6 Sachets Variety,0724999809610,discovery-sampler | 6 Sachets Variety,7,0.0,73.32428571428571
better-whey,1kg Pack (40 servings) / Vanilla,0724999807913,better-whey | 1kg Pack (40 servings) / Vanilla,7,0.5714285714285714,157.58999999999997
better-whey,500g Pack (20 servings) / Cocoa Dinosaur,724999808897.0,better-whey | 500g Pack (20 servings) / Cocoa Dinosaur,7,0.0,50.34675324675324
lushprotein-clear-shaker,1kg Pack (40 servings) / Cocoa Dinosaur,0724999808361,lushprotein-clear-shaker | Default,7,0.42857142857142855,137.3174458874459
prime-whey-isolate,1kg Pack (40 servings) / Cocoa Dinosaur,724999807791.0,prime-whey-isolate | 1kg Pack (40 servings) / Cocoa Dinosaur,7,0.42857142857142855,179.04034632034632
